4	419	424
651	655	2
736	657	252
532	574	157
468	502	467
911	791	174
796	800	273
388	17	371
692	745	381
859	109	835
355	968	979
134	614	510
901	958	95
676	890	280
593	555	39
399	293	109
260	306	49
125	706	728
410	617	923
462	352	129
648	332	947
768	672	98
368	271	141
731	734	16
133	428	398
154	643	695
22	490	474
902	996	91
653	439	480
156	492	408
469	777	803
78	567	542
286	75	293
234	237	151
793	350	883
621	494	167
853	747	703
938	851	281
772	598	275
92	416	331
200	459	615
748	624	934
964	515	917
694	758	250
153	259	313
361	896	581
620	959	677
43	181	147
139	542	531
412	845	489
378	429	583
811	584	738
79	599	650
299	506	425
901	84	931
274	366	331
56	9	58
385	336	243
792	345	717
311	737	875
609	644	832
230	380	308
556	194	732
528	341	281
408	683	679
812	557	888
120	450	329
30	698	698
875	50	856
986	834	263
430	99	439
639	563	228
758	137	859
675	324	471
450	955	914
981	941	55
98	774	689
666	420	891
150	420	503
95	90	17
372	513	258
392	116	326
883	913	85
422	533	168
617	8	613
455	424	142
921	744	923
876	851	23
232	790	855
350	550	670
904	23	906
337	438	134
334	619	377
250	754	558
974	922	99
89	235	252
429	564	436
125	842	785
849	962	728
91	48	41
395	551	313
952	612	392
106	941	917
326	393	128
609	101	631
318	166	460
672	620	288
263	259	73
525	867	437
567	99	468
608	573	497
201	203	2
375	484	311
720	444	668
742	447	394
450	150	422
132	795	921
17	795	788
292	190	166
437	160	334
701	470	599
634	507	193
301	874	932
81	633	553
593	47	619
38	421	400
275	247	177
959	232	919
258	882	916
70	66	2
734	771	455
765	758	38
302	116	353
712	589	540
985	996	450
715	628	322
144	962	839
931	588	410
652	25	640
492	510	15
493	683	248
100	902	975
998	605	530
572	311	425
453	492	434
288	274	99
868	828	53
15	367	352
892	954	75
823	423	817
768	302	654
262	783	772
629	723	914
559	492	103
655	680	183
714	849	605
793	111	882
920	911	23
656	43	673
506	421	471
195	114	121
744	58	759
770	857	87
838	635	329
534	661	199
228	197	64
859	847	41
625	987	529
104	602	592
241	290	483
322	91	257
904	945	199
231	537	683
448	264	307
674	469	538
461	430	85
422	466	49
832	215	965
865	993	685
11	98	93
38	674	697
267	816	895
629	591	368
916	63	916
466	128	570
181	256	130
288	278	39
951	662	378
218	654	674
854	722	231
862	109	943
745	868	472
163	249	232
236	416	377
357	542	860
865	368	839
140	962	901
818	13	818
746	829	335
516	584	480
713	626	206
989	636	397
240	166	72
797	729	663
298	590	618
422	195	540
446	568	432
519	529	786
440	345	296
638	15	624
136	182	77
284	157	433
767	983	581
365	436	458
579	818	316
114	372	415
938	965	335
865	406	893
166	764	629
557	954	801
640	750	534
980	882	277
448	457	11
689	368	914
893	800	951
754	148	735
390	288	273
189	240	157
921	473	600
611	632	24
701	703	625
649	447	662
762	947	581
222	238	72
717	563	273
956	33	956
146	588	453
979	967	144
725	779	64
433	911	613
268	445	458
91	747	728
37	780	756
556	280	547
922	754	236
718	80	753
616	338	490
35	67	30
59	268	237
451	302	365
225	437	248
72	577	537
956	545	479
112	280	322
422	804	907
