461,550
370,39
464,858
812,389
599,989
376,415
606,361
448,208
50,472
205,417
533,331
857,493
631,950
387,19
511,843
514,557
269,809
149,517
994,939
467,662
952,417
565,226
214,319
532,276
619,80
390,706
17,634
706,440
318,207
698,185
566,679
347,482
39,799
583,543
367,664
805,439
209,584
106,497
975,2
316,684
30,309
399,680
227,740
386,603
703,795
573,803
993,939
809,221
38,720
318,732
88,459
865,654
264,284
281,776
492,660
879,703
772,414
694,41
452,406
107,905
647,222
679,40
144,205
871,804
545,676
316,716
488,826
957,832
857,770
319,198
832,813
818,296
71,699
838,578
440,856
121,970
391,192
78,210
324,591
159,366
617,167
484,607
587,96
680,984
800,512
123,588
1,862
699,839
848,89
344,353
780,731
693,973
989,936
168,475
742,683
768,116
190,364
470,266
122,497
492,432
505,636
295,476
63,298
157,315
69,789
678,335
140,516
697,585
507,832
678,279
449,744
835,354
924,878
666,503
947,453
525,190
62,320
21,458
446,429
376,423
494,896
583,270
183,468
623,289
836,706
419,569
428,260
683,627
447,973
688,607
245,187
558,843
325,666
672,606
161,812
950,362
143,22
89,762
234,245
65,599
232,466
739,122
206,112
690,365
907,438
838,809
222,12
337,66
732,821
182,862
955,808
346,227
983,270
874,849
7,760
973,977
911,961
913,557
607,933
226,604
3,564
340,578
248,916
650,185
831,359
544,614
648,939
464,269
643,149
875,549
953,969
236,474
313,212
896,829
544,449
278,645
887,947
342,861
636,316
857,470
736,196
17,878
142,968
46,470
182,252
261,143
69,600
372,379
867,391
174,287
951,842
626,733
622,70
980,671
477,63
779,39
986,570
842,805
890,886
893,172
198,780
202,209
193,52
414,427
375,231
646,598
271,462
679,121
76,847
15,617
248,105
126,546
531,831
602,431
795,223
167,721
813,251
64,640
155,955
251,329
341,716
760,127
86,413
340,102
441,642
785,292
123,389
905,73
807,86
500,866
809,366
219,356
320,964
903,167
300,137
5,675
852,235
355,556
810,830
509,869
769,400
553,614
179,873
466,866
143,943
182,380
735,808
731,802
522,74
444,127
232,962
231,492
874,567
911,840
547,895
93,294
190,902
451,530
936,774
116,843
950,906
910,51
986,498
125,324
60,313
899,494
832,316
994,983
23,353
174,799
490,878
623,963
721,333
589,687
936,388
485,17
435,158
192,934
299,723
484,160
245,754
298,419
868,687
131,250
201,954
353,910
518,781
866,97
836,599
80,957
277,130
62,266
792,764
160,949
664,203
491,615
210,146
209,780
766,112
222,12
