(0,0)
(1,0)
(2,0)
(3,0)
(4,0)
(4,-1)
(4,-2)
(4,-3)
(5,-3)
(6,-3)
(7,-3)
(7,-2)
(7,-1)
(6,-1)
(6,0)
(5,0)
(5,1)
(5,2)
(6,2)
(7,2)
(8,2)
(8,3)
(8,4)
(8,5)
(8,6)
(8,7)
(7,7)
(6,7)
(5,7)
(4,7)
(3,7)
(3,8)
(3,9)
(3,10)
(3,11)
(2,11)
(1,11)
(0,11)
(-1,11)
(-1,12)
(-1,13)
(0,13)
(1,13)
(2,13)
(3,13)
(3,14)
(3,15)
(3,16)
(4,16)
(5,16)
(6,16)
(6,17)
(6,18)
(6,19)
(7,19)
(8,19)
(9,19)
(9,18)
(9,17)
(9,16)
(9,15)
(8,15)
(7,15)
(7,14)
(6,14)
(5,14)
(5,13)
(5,12)
(5,11)
(6,11)
(7,11)
(7,12)
(8,12)
(9,12)
(10,12)
(10,11)
(10,10)
(10,9)
(10,8)
(10,7)
(11,7)
(11,8)
(11,9)
(11,10)
(11,11)
(12,11)
(13,11)
(13,12)
(13,13)
(13,14)
(13,15)
(14,15)
(15,15)
(16,15)
(16,14)
(15,14)
(14,14)
(14,13)
(14,12)
(14,11)
(14,10)
(14,9)
(13,9)
(12,9)
(12,8)
(12,7)
(12,6)
(12,5)
(12,4)
(12,3)
(12,2)
(12,1)
(12,0)
(12,-1)
(12,-2)
(12,-3)
(12,-4)
(12,-5)
(12,-6)
(12,-7)
(12,-8)
(12,-9)
(12,-10)
(12,-11)
(12,-12)
(12,-13)
(12,-14)
(12,-15)
(12,-16)
(12,-17)
(12,-18)
(12,-19)
(12,-20)
(12,-21)
(12,-22)
(12,-23)
(12,-24)
(12,-25)
(12,-26)
(12,-27)
(12,-28)
(12,-29)
(12,-30)
(12,-31)
(12,-32)
(12,-33)
(12,-34)
(12,-35)
(12,-36)
(12,-37)
(12,-38)
(12,-39)
(12,-40)
(12,-41)
(12,-42)
(12,-43)
(12,-44)
(12,-45)
(12,-46)
(12,-47)
(12,-48)
(12,-49)
(12,-50)
(12,-51)
(12,-52)
(12,-53)
(12,-54)
(12,-55)
(12,-56)
(12,-57)
(12,-58)
(12,-59)
(12,-60)
(12,-61)
(12,-62)
(12,-63)
(12,-64)
(12,-65)
(12,-66)
(12,-67)
(12,-68)
(12,-69)
(12,-70)
(12,-71)
(12,-72)
(12,-73)
(12,-74)
(12,-75)
(12,-76)
(12,-77)
(12,-78)
(12,-79)
(12,-80)
(12,-81)
(12,-82)
(12,-83)
(12,-84)
(12,-85)
(12,-86)
(12,-87)
(12,-88)
(12,-89)
(12,-90)
(12,-91)
(12,-92)
(12,-93)
(12,-94)
(12,-95)
(12,-96)
(12,-97)
(12,-98)
(12,-99)
(12,-100)
(12,-101)
(12,-102)
(12,-103)
(12,-104)
(12,-105)
(12,-106)
(12,-107)
(12,-108)
(12,-109)
(12,-110)
(12,-111)
(12,-112)
(12,-113)
(12,-114)
(12,-115)
(12,-116)
(12,-117)
(12,-118)
(12,-119)
(12,-120)
(12,-121)
(12,-122)
(12,-123)
(12,-124)
(12,-125)
(12,-126)
(12,-127)
(12,-128)
(12,-129)
(12,-130)
(12,-131)
(12,-132)
(12,-133)
(12,-134)
(12,-135)
(12,-136)
(12,-137)
(12,-138)
(12,-139)
(12,-140)
(12,-141)
(12,-142)
(12,-143)
(12,-144)
(12,-145)
(12,-146)
(12,-147)
(12,-148)
(12,-149)
(12,-150)
(12,-151)
(12,-152)
(12,-153)
(12,-154)
(12,-155)
(12,-156)
(12,-157)
(12,-158)
(12,-159)
(12,-160)
(12,-161)
(12,-162)
(12,-163)
(12,-164)
(12,-165)
(12,-166)
(12,-167)
(12,-168)
(12,-169)
(12,-170)
(12,-171)
(12,-172)
(12,-173)
(12,-174)
(12,-175)
(12,-176)
(12,-177)
(12,-178)
(12,-179)
(12,-180)
(11,-180)
(10,-180)
(9,-180)
(8,-180)
(7,-180)
(7,-181)
(7,-182)
(7,-183)
(7,-184)
(7,-185)
(6,-185)
(5,-185)
(4,-185)
(3,-185)
(2,-185)
(1,-185)
(0,-185)
(-1,-185)
(-2,-185)
(-3,-185)
(-4,-185)
(-5,-185)
(-6,-185)
(-7,-185)
(-8,-185)
